2026-06-12 15:13:04,704 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=4b56b5743131 user=anonymous | CSVAdapter loaded entity=facilities rows=8 path=F:\Office\SampleApp4\data\facilities.csv
2026-06-12 15:13:04,717 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=4b56b5743131 user=anonymous | CSVAdapter.fetch entity=facilities entity_key=None sor='1SOR' rows_returned=4
2026-06-12 15:13:04,728 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=4b56b5743131 user=anonymous | CSVAdapter loaded entity=obligations rows=12 path=F:\Office\SampleApp4\data\obligations.csv
2026-06-12 15:13:04,741 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=4b56b5743131 user=anonymous | CSVAdapter.fetch entity=obligations entity_key=None sor='1SOR' rows_returned=6
2026-06-12 15:13:04,748 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=4b56b5743131 user=anonymous | CSVAdapter loaded entity=property rows=8 path=F:\Office\SampleApp4\data\property.csv
2026-06-12 15:13:04,754 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=4b56b5743131 user=anonymous | CSVAdapter.fetch entity=property entity_key=None sor='1SOR' rows_returned=4
2026-06-12 15:13:04,775 | DEBUG    | app.services.reporting_service | req=4b56b5743131 user=anonymous | get_facilities search='' sor='1SOR' -> 4/4
2026-06-12 15:13:20,784 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=0e828155a344 user=anonymous | CSVAdapter.fetch entity=obligations entity_key={'LOANNUMBER': 'LN-001'} sor='1SOR' rows_returned=2
2026-06-12 15:13:20,790 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=0e828155a344 user=anonymous | CSVAdapter.fetch entity=property entity_key=None sor='1SOR' rows_returned=4
2026-06-12 15:13:40,226 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=c79c7349a3f3 user=anonymous | CSVAdapter.fetch entity=obligations entity_key=None sor='1SOR' rows_returned=6
2026-06-12 15:13:40,230 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=c79c7349a3f3 user=anonymous | CSVAdapter.fetch entity=property entity_key=None sor='1SOR' rows_returned=4
2026-06-12 15:21:05,874 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=b5be0ac51521 user=anonymous | CSVAdapter.fetch entity=obligations entity_key=None sor='1SOR' rows_returned=6
2026-06-12 15:21:05,879 | DEBUG    | app.adapters.base_adapter.CSVAdapter | req=b5be0ac51521 user=anonymous | CSVAdapter.fetch entity=property entity_key=None sor='1SOR' rows_returned=4
